name,instance_count,def,synonyms,image_count,id,frequency,synset
cleat_(for_securing_rope),8,a fastener (usually with two projecting horns) around which a rope can be secured,['cleat_(for_securing_rope)'],2,265,r,cleat.n.02
clementine,108,a variety of mandarin orange,['clementine'],5,266,r,clementine.n.01
clip,301,any of various small fasteners used to hold loose articles together,['clip'],95,267,c,clip.n.03
clipboard,36,a small writing board with a clip at the top for holding papers,['clipboard'],32,268,c,clipboard.n.01
clippers_(for_plants),1,shears for cutting grass or shrubbery (often used in the plural),['clippers_(for_plants)'],1,269,r,clipper.n.03
cloak,1,a loose outer garment,['cloak'],1,270,r,cloak.n.02
clock,2677,a timepiece that shows the time of day,"['clock', 'timepiece', 'timekeeper']",1844,271,f,clock.n.01
clock_tower,932,a tower with a large clock visible high up on an outside face,['clock_tower'],897,272,f,clock_tower.n.01
clothes_hamper,47,a hamper that holds dirty clothes to be washed or wet clothes to be dried,"['clothes_hamper', 'laundry_basket', 'clothes_basket']",31,273,c,clothes_hamper.n.01
clothespin,111,wood or plastic fastener; for holding clothes on a clothesline,"['clothespin', 'clothes_peg']",23,274,c,clothespin.n.01
clutch_bag,1,a woman's strapless purse that is carried in the hand,['clutch_bag'],1,275,r,clutch_bag.n.01
coaster,390,a covering (plate or mat) that protects the surface of a table,['coaster'],202,276,f,coaster.n.03
coat,4145,an outer garment that has sleeves and covers the body from shoulder down,['coat'],746,277,f,coat.n.01
coat_hanger,282,a hanger that is shaped like a person's shoulders,"['coat_hanger', 'clothes_hanger', 'dress_hanger']",44,278,c,coat_hanger.n.01
coatrack,16,a rack with hooks for temporarily holding coats and hats,"['coatrack', 'hatrack']",14,279,c,coatrack.n.01
cock,132,adult male chicken,"['cock', 'rooster']",26,280,c,cock.n.04
cockroach,1,any of numerous chiefly nocturnal insects; some are domestic pests,['cockroach'],1,281,r,cockroach.n.01
cocoa_(beverage),4,a beverage made from cocoa powder and milk and sugar; usually drunk hot,"['cocoa_(beverage)', 'hot_chocolate_(beverage)', 'drinking_chocolate']",2,282,r,cocoa.n.01
coconut,273,large hard-shelled brown oval nut with a fibrous husk,"['coconut', 'cocoanut']",25,283,c,coconut.n.02
coffee_maker,271,a kitchen appliance for brewing coffee automatically,"['coffee_maker', 'coffee_machine']",238,284,f,coffee_maker.n.01
coffee_table,709,low table where magazines can be placed and coffee or cocktails are served,"['coffee_table', 'cocktail_table']",592,285,f,coffee_table.n.01
coffeepot,32,tall pot in which coffee is brewed,['coffeepot'],26,286,c,coffeepot.n.01
coil,7,tubing that is wound in a spiral,['coil'],5,287,r,coil.n.05
coin,305,a flat metal piece (usually a disc) used as money,['coin'],42,288,c,coin.n.01
colander,16,bowl-shaped strainer; used to wash or drain foods,"['colander', 'cullender']",13,289,c,colander.n.01
coleslaw,72,basically shredded cabbage,"['coleslaw', 'slaw']",46,290,c,coleslaw.n.01
coloring_material,1,any material used for its color,"['coloring_material', 'colouring_material']",1,291,r,coloring_material.n.01
combination_lock,13,lock that can be opened only by turning dials in a special sequence,['combination_lock'],8,292,r,combination_lock.n.01
pacifier,40,device used for an infant to suck or bite on,"['pacifier', 'teething_ring']",34,293,c,comforter.n.04
comic_book,97,a magazine devoted to comic strips,['comic_book'],5,294,r,comic_book.n.01
compass,1,navigational instrument for finding directions,['compass'],1,295,r,compass.n.01
computer_keyboard,2745,a keyboard that is a data input device for computers,"['computer_keyboard', 'keyboard_(computer)']",1871,296,f,computer_keyboard.n.01
condiment,2985,a preparation (a sauce or relish or spice) to enhance flavor or enjoyment,['condiment'],717,297,f,condiment.n.01
cone,4081,a cone-shaped object used to direct traffic,"['cone', 'traffic_cone']",1010,298,f,cone.n.01
control,1775,a mechanism that controls the operation of a machine,"['control', 'controller']",679,299,f,control.n.09
convertible_(automobile),4,a car that has top that can be folded or removed,['convertible_(automobile)'],3,300,r,convertible.n.01
sofa_bed,5,a sofa that can be converted into a bed,['sofa_bed'],4,301,r,convertible.n.03
cooker,1,a utensil for cooking,['cooker'],1,302,r,cooker.n.01
cookie,1920,any of various small flat sweet cakes (`biscuit' is the British term),"['cookie', 'cooky', 'biscuit_(cookie)']",166,303,f,cookie.n.01
cooking_utensil,18,a kitchen utensil made of material that does not melt easily; used for cooking,['cooking_utensil'],2,304,r,cooking_utensil.n.01
cooler_(for_food),499,an insulated box for storing food often with ice,"['cooler_(for_food)', 'ice_chest']",266,305,f,cooler.n.01
cork_(bottle_plug),326,the plug in the mouth of a bottle (especially a wine bottle),"['cork_(bottle_plug)', 'bottle_cork']",101,306,f,cork.n.04
corkboard,7,a sheet consisting of cork granules,['corkboard'],6,307,r,corkboard.n.01
corkscrew,15,a bottle opener that pulls corks,"['corkscrew', 'bottle_screw']",14,308,c,corkscrew.n.01
edible_corn,1883,ears or kernels of corn that can be prepared and served for human food (only mark individual ears or kernels),"['edible_corn', 'corn', 'maize']",133,309,f,corn.n.03
cornbread,10,bread made primarily of cornmeal,['cornbread'],2,310,r,cornbread.n.01
cornet,65,a brass musical instrument with a narrow tube and a flared bell and many valves,"['cornet', 'horn', 'trumpet']",38,311,c,cornet.n.01
cornice,149,a decorative framework to conceal curtain fixtures at the top of a window casing,"['cornice', 'valance', 'valance_board', 'pelmet']",95,312,c,cornice.n.01
cornmeal,1,coarsely ground corn,['cornmeal'],1,313,r,cornmeal.n.01
corset,12,a woman's close-fitting foundation garment,"['corset', 'girdle']",12,314,c,corset.n.01
costume,124,the attire characteristic of a country or a time or a social class,['costume'],49,315,c,costume.n.04
cougar,6,large American feline resembling a lion,"['cougar', 'puma', 'catamount', 'mountain_lion', 'panther']",5,316,r,cougar.n.01
coverall,12,a loose-fitting protective garment that is worn over other clothing,['coverall'],5,317,r,coverall.n.01
cowbell,29,a bell hung around the neck of cow so that the cow can be easily located,['cowbell'],16,318,c,cowbell.n.01
cowboy_hat,535,a hat with a wide brim and a soft crown; worn by American ranch hands,"['cowboy_hat', 'ten-gallon_hat']",216,319,f,cowboy_hat.n.01
crab_(animal),50,decapod having eyes on short stalks and a broad flattened shell and pincers,['crab_(animal)'],12,320,c,crab.n.01
crabmeat,5,the edible flesh of any of various crabs,['crabmeat'],1,321,r,crab.n.05
cracker,510,a thin crisp wafer,['cracker'],54,322,c,cracker.n.01
crape,12,small very thin pancake,"['crape', 'crepe', 'French_pancake']",5,323,r,crape.n.01
crate,1832,a rugged box (usually made of wood); used for shipping,['crate'],245,324,f,crate.n.01
crayon,59,writing or drawing implement made of a colored stick of composition wax,"['crayon', 'wax_crayon']",12,325,c,crayon.n.01
cream_pitcher,10,a small pitcher for serving cream,['cream_pitcher'],7,326,r,cream_pitcher.n.01
crescent_roll,152,very rich flaky crescent-shaped roll,"['crescent_roll', 'croissant']",35,327,c,crescent_roll.n.01
crib,40,baby bed with high sides made of slats,"['crib', 'cot']",36,328,c,crib.n.01
crock_pot,128,an earthen jar (made of baked clay) or a modern electric crockpot,"['crock_pot', 'earthenware_jar']",32,329,c,crock.n.03
crossbar,6991,a horizontal bar that goes across something,['crossbar'],1027,330,f,crossbar.n.01
crouton,140,a small piece of toasted or fried bread; served in soup or salads,['crouton'],10,331,r,crouton.n.01
crow,24,black birds having a raucous call,['crow'],12,332,c,crow.n.01
crowbar,1,a heavy iron lever with one end forged into a wedge,"['crowbar', 'wrecking_bar', 'pry_bar']",1,333,r,crowbar.n.01
crown,126,an ornamental jeweled headdress signifying sovereignty,['crown'],67,334,c,crown.n.04
crucifix,99,representation of the cross on which Jesus died,['crucifix'],71,335,c,crucifix.n.01
cruise_ship,35,a passenger ship used commercially for pleasure cruises,"['cruise_ship', 'cruise_liner']",30,336,c,cruise_ship.n.01
police_cruiser,86,a car in which policemen cruise the streets,"['police_cruiser', 'patrol_car', 'police_car', 'squad_car']",48,337,c,cruiser.n.01
crumb,3021,small piece of e.g. bread or cake,['crumb'],249,338,f,crumb.n.03
crutch,20,a wooden or metal staff that fits under the armpit and reaches to the ground,['crutch'],13,339,c,crutch.n.01
cub_(animal),55,the young of certain carnivorous mammals such as the bear or wolf or lion,['cub_(animal)'],29,340,c,cub.n.03
cube,189,a block in the (approximate) shape of a cube,"['cube', 'square_block']",14,341,c,cube.n.05
cucumber,1533,cylindrical green fruit with thin green rind and white flesh eaten as a vegetable,"['cucumber', 'cuke']",236,342,f,cucumber.n.02
cufflink,17,jewelry consisting of linked buttons used to fasten the cuffs of a shirt,['cufflink'],15,343,c,cufflink.n.01
cup,4637,a small open container usually used for drinking; usually has a handle,['cup'],1521,344,f,cup.n.01
trophy_cup,80,a metal award or cup-shaped vessel with handles that is awarded as a trophy to a competition winner,['trophy_cup'],25,345,c,cup.n.08
cupboard,1623,a small room (or recess) or cabinet used for storage space,"['cupboard', 'closet']",249,346,f,cupboard.n.01
cupcake,1628,small cake baked in a muffin tin,['cupcake'],139,347,f,cupcake.n.01
hair_curler,20,a cylindrical tube around which the hair is wound to curl it,"['hair_curler', 'hair_roller', 'hair_crimper']",2,348,r,curler.n.01
curling_iron,2,a cylindrical home appliance that heats hair that has been curled around it,['curling_iron'],2,349,r,curling_iron.n.01
curtain,4506,hanging cloth used as a blind (especially for a window),"['curtain', 'drapery']",1890,350,f,curtain.n.01
cushion,7174,a soft bag filled with air or padding such as feathers or foam rubber,['cushion'],1240,351,f,cushion.n.03
cylinder,3,a cylindrical container,['cylinder'],1,352,r,cylinder.n.04
cymbal,24,a percussion instrument consisting of a concave brass disk,['cymbal'],9,353,r,cymbal.n.01
dagger,1,a short knife with a pointed blade used for piercing or stabbing,['dagger'],1,354,r,dagger.n.01
dalmatian,3,a large breed having a smooth white coat with black or brown spots,['dalmatian'],3,355,r,dalmatian.n.02
dartboard,11,a circular board of wood or cork used as the target in the game of darts,['dartboard'],11,356,c,dartboard.n.01
date_(fruit),103,sweet edible fruit of the date palm with a single long woody seed,['date_(fruit)'],4,357,r,date.n.08
deck_chair,1787,a folding chair for use outdoors; a wooden frame supports a length of canvas,"['deck_chair', 'beach_chair']",236,358,f,deck_chair.n.01
deer,130,distinguished from Bovidae by the male's having solid deciduous antlers,"['deer', 'cervid']",44,359,c,deer.n.01
dental_floss,20,a soft thread for cleaning the spaces between the teeth,"['dental_floss', 'floss']",19,360,c,dental_floss.n.01
desk,1662,a piece of furniture with a writing surface and usually drawers or other compartments,['desk'],1100,361,f,desk.n.01
detergent,11,a surface-active chemical widely used in industry and laundering,['detergent'],7,362,r,detergent.n.01
diaper,89,garment consisting of a folded cloth drawn up between the legs and fastened at the waist,['diaper'],69,363,c,diaper.n.01
diary,2,yearly planner book,"['diary', 'journal']",2,364,r,diary.n.01
die,25,a small cube with 1 to 6 spots on the six faces; used in gambling,"['die', 'dice']",8,365,r,die.n.01
dinghy,15,a small boat of shallow draft with seats and oars with which it is propelled,"['dinghy', 'dory', 'rowboat']",5,366,r,dinghy.n.01
dining_table,312,a table at which meals are served,['dining_table'],227,367,f,dining_table.n.01
tux,10,semiformal evening dress for men,"['tux', 'tuxedo']",6,368,r,dinner_jacket.n.01
dish,532,a piece of dishware normally used as a container for holding or serving food,['dish'],106,369,f,dish.n.01
dish_antenna,153,directional antenna consisting of a parabolic reflector,['dish_antenna'],81,370,c,dish.n.05
dishrag,32,a cloth for washing dishes or cleaning in general,"['dishrag', 'dishcloth']",17,371,c,dishrag.n.01
dishtowel,223,a towel for drying dishes,"['dishtowel', 'tea_towel']",134,372,f,dishtowel.n.01
dishwasher,317,a machine for washing dishes,"['dishwasher', 'dishwashing_machine']",312,373,f,dishwasher.n.01
dishwasher_detergent,9,dishsoap or dish detergent designed for use in dishwashers,"['dishwasher_detergent', 'dishwashing_detergent', 'dishwashing_liquid', 'dishsoap']",8,374,r,dishwasher_detergent.n.01
dispenser,610,a container so designed that the contents can be used in prescribed amounts,['dispenser'],271,375,f,dispenser.n.01
diving_board,2,a springboard from which swimmers can dive,['diving_board'],2,376,r,diving_board.n.01
Dixie_cup,352,a disposable cup made of paper; for holding drinks,"['Dixie_cup', 'paper_cup']",103,377,f,dixie_cup.n.01
dog,2684,a common domesticated dog,['dog'],1938,378,f,dog.n.01
dog_collar,733,a collar for a dog,['dog_collar'],574,379,f,dog_collar.n.01
doll,398,a toy replica of a HUMAN (NOT AN ANIMAL),['doll'],120,380,f,doll.n.01
dollar,2,a piece of paper money worth one dollar,"['dollar', 'dollar_bill', 'one_dollar_bill']",2,381,r,dollar.n.02
dollhouse,2,a house so small that it is likened to a child's plaything,"['dollhouse', ""doll's_house""]",2,382,r,dollhouse.n.01
dolphin,38,any of various small toothed whales with a beaklike snout; larger than porpoises,['dolphin'],13,383,c,dolphin.n.02
domestic_ass,49,domestic beast of burden descended from the African wild ass; patient but stubborn,"['domestic_ass', 'donkey']",29,384,c,domestic_ass.n.01
doorknob,4072,a knob used to open a door (often called `doorhandle' in Great Britain),"['doorknob', 'doorhandle']",1710,385,f,doorknob.n.01
doormat,78,a mat placed outside an exterior door for wiping the shoes before entering,"['doormat', 'welcome_mat']",66,386,c,doormat.n.02
doughnut,11911,a small ring-shaped friedcake,"['doughnut', 'donut']",1008,387,f,doughnut.n.02
dove,2,any of numerous small pigeons,['dove'],1,388,r,dove.n.01
dragonfly,8,slender-bodied non-stinging insect having iridescent wings that are outspread at rest,['dragonfly'],3,389,r,dragonfly.n.01
drawer,7927,a boxlike container in a piece of furniture; made so as to slide in and out,['drawer'],1942,390,f,drawer.n.01
underdrawers,23,underpants worn by men,"['underdrawers', 'boxers', 'boxershorts']",19,391,c,drawers.n.01
dress,2842,a one-piece garment for a woman; has skirt and bodice,"['dress', 'frock']",1488,392,f,dress.n.01
dress_hat,76,a man's hat with a tall crown; usually covered with silk or with beaver fur,"['dress_hat', 'high_hat', 'opera_hat', 'silk_hat', 'top_hat']",46,393,c,dress_hat.n.01
dress_suit,306,formalwear consisting of full evening dress for men,['dress_suit'],106,394,f,dress_suit.n.01
dresser,152,a cabinet with shelves,['dresser'],115,395,f,dresser.n.05
drill,24,a tool with a sharp rotating point for making holes in hard materials,['drill'],19,396,c,drill.n.01
drone,2,an aircraft without a pilot that is operated by remote control,['drone'],2,397,r,drone.n.04
dropper,1,pipet consisting of a small tube with a vacuum bulb at one end for drawing liquid in and releasing it a drop at a time,"['dropper', 'eye_dropper']",1,398,r,dropper.n.01
drum_(musical_instrument),59,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,['drum_(musical_instrument)'],28,399,c,drum.n.01
drumstick,25,a stick used for playing a drum,['drumstick'],9,400,r,drumstick.n.02
duck,1090,small web-footed broad-billed swimming bird,['duck'],192,401,f,duck.n.01
duckling,36,young duck,['duckling'],12,402,c,duckling.n.02
duct_tape,77,a wide silvery adhesive tape,['duct_tape'],21,403,c,duct_tape.n.01
duffel_bag,666,a large cylindrical bag of heavy cloth (does not include suitcases),"['duffel_bag', 'duffle_bag', 'duffel', 'duffle']",247,404,f,duffel_bag.n.01
dumbbell,13,an exercising weight with two ball-like ends connected by a short handle,['dumbbell'],6,405,r,dumbbell.n.01
dumpster,95,a container designed to receive and transport and dump waste,['dumpster'],64,406,c,dumpster.n.01
dustpan,7,a short-handled receptacle into which dust can be swept,['dustpan'],7,407,r,dustpan.n.02
eagle,48,large birds of prey noted for their broad wings and strong soaring flight,['eagle'],40,408,c,eagle.n.01
earphone,767,device for listening to audio that is held over or inserted into the ear,"['earphone', 'earpiece', 'headphone']",542,409,f,earphone.n.01
earplug,39,a soft plug that is inserted into the ear canal to block sound,['earplug'],2,410,r,earplug.n.01
earring,3070,jewelry to ornament the ear,['earring'],1898,411,f,earring.n.01
easel,43,an upright tripod for displaying something (usually an artist's canvas),['easel'],36,412,c,easel.n.01
eclair,39,oblong cream puff,['eclair'],4,413,r,eclair.n.01
eel,1,an elongate fish with fatty flesh,['eel'],1,414,r,eel.n.01
egg,813,oval reproductive body of a fowl (especially a hen) used as food,"['egg', 'eggs']",191,415,f,egg.n.02
egg_roll,15,minced vegetables and meat wrapped in a pancake and fried,"['egg_roll', 'spring_roll']",6,416,r,egg_roll.n.01
egg_yolk,90,the yellow spherical part of an egg,"['egg_yolk', 'yolk_(egg)']",41,417,c,egg_yolk.n.01
eggbeater,52,a mixer for beating eggs or whipping cream,"['eggbeater', 'eggwhisk']",39,418,c,eggbeater.n.02
eggplant,337,egg-shaped vegetable having a shiny skin typically dark purple,"['eggplant', 'aubergine']",46,419,c,eggplant.n.01
electric_chair,1,a chair-shaped instrument of execution by electrocution,['electric_chair'],1,420,r,electric_chair.n.01
refrigerator,1702,a refrigerator in which the coolant is pumped around by an electric motor,['refrigerator'],1451,421,f,electric_refrigerator.n.01
elephant,5325,a common elephant,['elephant'],1878,422,f,elephant.n.01
elk,29,large northern deer with enormous flattened antlers in the male,"['elk', 'moose']",11,423,c,elk.n.01
envelope,210,"a flat (usually rectangular) container for a letter, thin package, etc.",['envelope'],82,424,c,envelope.n.01
eraser,41,an implement used to erase something,['eraser'],18,425,c,eraser.n.01
escargot,5,edible snail usually served in the shell with a sauce of melted butter and garlic,['escargot'],1,426,r,escargot.n.01
eyepatch,9,a protective cloth covering for an injured eye,['eyepatch'],7,427,r,eyepatch.n.01
falcon,3,birds of prey having long pointed powerful wings adapted for swift flight,['falcon'],3,428,r,falcon.n.01
fan,737,a device for creating a current of air by movement of a surface or surfaces,['fan'],575,429,f,fan.n.01
faucet,3185,a regulator for controlling the flow of a liquid from a reservoir,"['faucet', 'spigot', 'tap']",1907,430,f,faucet.n.01
fedora,14,a hat made of felt with a creased crown,['fedora'],8,431,r,fedora.n.01
ferret,5,domesticated albino variety of the European polecat bred for hunting rats and rabbits,['ferret'],4,432,r,ferret.n.02
Ferris_wheel,32,a large wheel with suspended seats that remain upright as the wheel rotates,['Ferris_wheel'],32,433,c,ferris_wheel.n.01
ferry,17,a boat that transports people or vehicles across a body of water and operates on a regular schedule,"['ferry', 'ferryboat']",11,434,c,ferry.n.01
fig_(fruit),147,fleshy sweet pear-shaped yellowish or purple fruit eaten fresh or preserved or dried,['fig_(fruit)'],4,435,r,fig.n.04
fighter_jet,115,a high-speed military or naval airplane designed to destroy enemy targets,"['fighter_jet', 'fighter_aircraft', 'attack_aircraft']",54,436,c,fighter.n.02
figurine,1056,a small carved or molded figure,['figurine'],202,437,f,figurine.n.01
file_cabinet,53,office furniture consisting of a container for keeping papers in order,"['file_cabinet', 'filing_cabinet']",32,438,c,file.n.03
file_(tool),3,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,['file_(tool)'],3,439,r,file.n.04
fire_alarm,151,an alarm that is tripped off by fire or smoke,"['fire_alarm', 'smoke_alarm']",130,440,f,fire_alarm.n.02
fire_engine,179,large trucks that carry firefighters and equipment to the site of a fire,"['fire_engine', 'fire_truck']",119,441,f,fire_engine.n.01
fire_extinguisher,165,a manually operated device for extinguishing small fires,"['fire_extinguisher', 'extinguisher']",141,442,f,fire_extinguisher.n.01
fire_hose,67,a large hose that carries water from a fire hydrant to the site of the fire,['fire_hose'],29,443,c,fire_hose.n.01
fireplace,530,an open recess in a wall at the base of a chimney where a fire can be built,['fireplace'],525,444,f,fireplace.n.01
fireplug,1458,an upright hydrant for drawing water to use in fighting a fire,"['fireplug', 'fire_hydrant', 'hydrant']",1323,445,f,fireplug.n.01
first-aid_kit,2,kit consisting of a set of bandages and medicines for giving first aid,['first-aid_kit'],2,446,r,first-aid_kit.n.01
fish,525,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,['fish'],113,447,f,fish.n.01
fish_(food),96,the flesh of fish used as food,['fish_(food)'],16,448,c,fish.n.02
fishbowl,33,a transparent bowl in which small fish are kept,"['fishbowl', 'goldfish_bowl']",7,449,r,fishbowl.n.02
fishing_rod,84,a rod that is used in fishing to extend the fishing line,"['fishing_rod', 'fishing_pole']",35,450,c,fishing_rod.n.01
flag,7007,emblem usually consisting of a rectangular piece of cloth of distinctive design (do not include pole),['flag'],1908,451,f,flag.n.01
flagpole,1082,a tall staff or pole on which a flag is raised,"['flagpole', 'flagstaff']",353,452,f,flagpole.n.02
flamingo,309,large pink web-footed bird with down-bent bill,['flamingo'],18,453,c,flamingo.n.01
flannel,18,a soft light woolen fabric; used for clothing,['flannel'],14,454,c,flannel.n.01
flap,218,"any broad thin covering attached at one edge, such as a mud flap next to a wheel or a flap on an airplane wing",['flap'],77,455,c,flap.n.01
flash,10,a lamp for providing momentary light to take a photograph,"['flash', 'flashbulb']",8,456,r,flash.n.10
flashlight,48,a small portable battery-powered electric lamp,"['flashlight', 'torch']",37,457,c,flashlight.n.01
fleece,2,a soft bulky fabric with deep pile; used chiefly for clothing,['fleece'],1,458,r,fleece.n.03
flip-flop_(sandal),1103,a backless sandal held to the foot by a thong between two toes,['flip-flop_(sandal)'],346,459,f,flip-flop.n.02
flipper_(footwear),49,a shoe to aid a person in swimming,"['flipper_(footwear)', 'fin_(footwear)']",19,460,c,flipper.n.01
flower_arrangement,3960,a decorative arrangement of flowers,"['flower_arrangement', 'floral_arrangement']",1779,461,f,flower_arrangement.n.01
flute_glass,86,a tall narrow wineglass,"['flute_glass', 'champagne_flute']",23,462,c,flute.n.02
foal,30,a young horse,['foal'],25,463,c,foal.n.01
folding_chair,303,a chair that can be folded flat for storage,['folding_chair'],67,464,c,folding_chair.n.01
food_processor,22,"a kitchen appliance for shredding, blending, chopping, or slicing food",['food_processor'],19,465,c,food_processor.n.01
football_(American),35,the inflated oblong ball used in playing American football,['football_(American)'],28,466,c,football.n.02
football_helmet,7,a padded helmet with a face mask to protect the head of football players,['football_helmet'],4,467,r,football_helmet.n.01
footstool,41,a low seat or a stool to rest the feet of a seated person,"['footstool', 'footrest']",27,468,c,footstool.n.01
fork,3137,cutlery used for serving and eating food,['fork'],1861,469,f,fork.n.01
forklift,14,an industrial vehicle with a power operated fork in front that can be inserted under loads to lift and move them,['forklift'],11,470,c,forklift.n.01
freight_car,121,a railway car that carries freight,['freight_car'],13,471,c,freight_car.n.01
French_toast,41,bread slice dipped in egg and milk and fried,['French_toast'],13,472,c,french_toast.n.01
freshener,39,anything that freshens air by removing or covering odor,"['freshener', 'air_freshener']",32,473,c,freshener.n.01
frisbee,2332,"a light, plastic disk propelled with a flip of the wrist for recreation or competition",['frisbee'],1767,474,f,frisbee.n.01
frog,84,a tailless stout-bodied amphibians with long hind limbs for leaping,"['frog', 'toad', 'toad_frog']",42,475,c,frog.n.01
fruit_juice,37,drink produced by squeezing or crushing fruit,['fruit_juice'],17,476,c,fruit_juice.n.01
frying_pan,310,a pan used for frying foods,"['frying_pan', 'frypan', 'skillet']",128,477,f,frying_pan.n.01
fudge,4,soft creamy candy,['fudge'],1,478,r,fudge.n.01
funnel,9,a cone-shaped utensil used to channel a substance into a container with a small mouth,['funnel'],9,479,r,funnel.n.02
futon,11,a pad that is used for sleeping on the floor or on a raised frame,['futon'],10,480,r,futon.n.01
gag,4,restraint put into a person's mouth to prevent speaking or shouting,"['gag', 'muzzle']",4,481,r,gag.n.02
garbage,18,a receptacle where waste can be discarded,['garbage'],9,482,r,garbage.n.03
garbage_truck,18,a truck for collecting domestic refuse,['garbage_truck'],18,483,c,garbage_truck.n.01
garden_hose,50,a hose used for watering a lawn or garden,['garden_hose'],41,484,c,garden_hose.n.01
gargle,38,a medicated solution used for gargling and rinsing the mouth,"['gargle', 'mouthwash']",28,485,c,gargle.n.01
gargoyle,8,an ornament consisting of a grotesquely carved figure of a person or animal,['gargoyle'],3,486,r,gargoyle.n.02
garlic,487,aromatic bulb used as seasoning,"['garlic', 'ail']",65,487,c,garlic.n.02
gasmask,12,a protective face mask with a filter,"['gasmask', 'respirator', 'gas_helmet']",9,488,r,gasmask.n.01
gazelle,82,small swift graceful antelope of Africa and Asia having lustrous eyes,['gazelle'],23,489,c,gazelle.n.01
gelatin,248,an edible jelly made with gelatin and used as a dessert or salad base or a coating for foods,"['gelatin', 'jelly']",24,490,c,gelatin.n.02
gemstone,2,a crystalline rock that can be cut and polished for jewelry,['gemstone'],1,491,r,gem.n.02
generator,2,engine that converts mechanical energy into electrical energy by electromagnetic induction,['generator'],2,492,r,generator.n.02
giant_panda,112,large black-and-white herbivorous mammal of bamboo forests of China and Tibet,"['giant_panda', 'panda', 'panda_bear']",59,493,c,giant_panda.n.01
gift_wrap,247,attractive wrapping paper suitable for wrapping gifts,['gift_wrap'],48,494,c,gift_wrap.n.01
ginger,93,the root of the common ginger plant; used fresh as a seasoning,"['ginger', 'gingerroot']",17,495,c,ginger.n.03
giraffe,3923,tall animal having a spotted coat and small horns and very long neck and legs,['giraffe'],1877,496,f,giraffe.n.01
cincture,56,a band of material around the waist that strengthens a skirt or trousers,"['cincture', 'sash', 'waistband', 'waistcloth']",18,497,c,girdle.n.02
glass_(drink_container),6420,a container for holding liquids while drinking,"['glass_(drink_container)', 'drinking_glass']",1920,498,f,glass.n.02
globe,59,a sphere on which a map (especially of the earth) is represented,['globe'],50,499,c,globe.n.03
glove,5951,handwear covering the hand,['glove'],1890,500,f,glove.n.02
goat,842,a common goat,['goat'],99,501,c,goat.n.01
goggles,3202,tight-fitting spectacles worn to protect the eyes,['goggles'],1530,502,f,goggles.n.01
goldfish,11,small golden or orange-red freshwater fishes used as pond or aquarium pets,['goldfish'],3,503,r,goldfish.n.01
golf_club,14,golf equipment used by a golfer to hit a golf ball,"['golf_club', 'golf-club']",11,504,c,golf_club.n.02
golfcart,25,a small motor vehicle in which golfers can ride between shots,['golfcart'],19,505,c,golfcart.n.01
gondola_(boat),8,long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice,['gondola_(boat)'],3,506,r,gondola.n.02
goose,413,"loud, web-footed long-necked aquatic birds usually larger than ducks",['goose'],63,507,c,goose.n.01
gorilla,10,largest ape,['gorilla'],5,508,r,gorilla.n.01
gourd,101,any of numerous inedible fruits with hard rinds,['gourd'],6,509,r,gourd.n.02
grape,6377,any of various juicy fruit with green or purple skins; grow in clusters,['grape'],233,510,f,grape.n.01
grater,64,utensil with sharp perforations for shredding foods (as vegetables or cheese),['grater'],54,511,c,grater.n.01
gravestone,778,a stone that is used to mark a grave,"['gravestone', 'headstone', 'tombstone']",36,512,c,gravestone.n.01
gravy_boat,10,a dish (often boat-shaped) for serving gravy or sauce,"['gravy_boat', 'gravy_holder']",10,513,r,gravy_boat.n.01
green_bean,2571,a common bean plant cultivated for its slender green edible pods,['green_bean'],124,514,f,green_bean.n.02
green_onion,1618,a young onion before the bulb has enlarged,"['green_onion', 'spring_onion', 'scallion']",101,515,f,green_onion.n.01
griddle,4,cooking utensil consisting of a flat heated surface on which food is cooked,['griddle'],3,516,r,griddle.n.01
grill,747,a framework of metal bars used as a partition or a grate,"['grill', 'grille', 'grillwork', 'radiator_grille']",363,517,f,grill.n.02
grits,3,coarsely ground corn boiled as a breakfast dish,"['grits', 'hominy_grits']",3,518,r,grits.n.01
grizzly,44,powerful brownish-yellow bear of the uplands of western North America,"['grizzly', 'grizzly_bear']",30,519,c,grizzly.n.01
grocery_bag,46,a sack for holding customer's groceries,['grocery_bag'],18,520,c,grocery_bag.n.01
guitar,315,a stringed instrument usually having six strings; played by strumming or plucking,['guitar'],199,521,f,guitar.n.01
gull,1398,mostly white aquatic bird having long pointed wings and short legs,"['gull', 'seagull']",97,522,c,gull.n.02
gun,68,a weapon that discharges a bullet at high velocity from a metal tube,['gun'],32,523,c,gun.n.01
hairbrush,165,a brush used to groom a person's hair,['hairbrush'],121,524,f,hairbrush.n.01
hairnet,53,a small net that someone wears over their hair to keep it in place,['hairnet'],16,525,c,hairnet.n.01
hairpin,20,a double pronged pin used to hold women's hair in place,['hairpin'],12,526,c,hairpin.n.01
halter_top,3,a woman's top that fastens behind the back and neck leaving the back and arms uncovered,['halter_top'],2,527,r,halter.n.03
